Plants Name,Botanical Name,Major Components
Bergamot,Citrus bergamia,"limonene, linalool, linalyl acetate"
Caraway,Carum carvi,"carvone, limonene"
Chamomile,Matricaria chamomilla,"α-bisabolol, bisabolol oxide B, (E)-β-farnesene, α-bisabolone oxide"
Cinnamon,Cinnamomum zeylanicum,"cinnamaldehyde, cinnamyl acetate"
Cornmint,Mentha arvensis,"menthol, menthone, isomenthone, menthyl acetate"
Eucalyptus,Eucalyptus sps.,"1,8-cineole (eucalyptol), limonene, aromadendrene"
Geranium,Pelargonium graveolens,"citronellol, geraniol, citronellyl formate, linalool"
Jasmine,Jasminum sps.,"benzyl alcohol, linalool, benzyl acetate, jasmone, geraniol"
Juniper,Juniperus sps.,"bornyl acetate, sabinene, α-pinene, limonene"
Lavender,"Lavandula
angustifolia","geraniol, linalool, linalyl acetate, β-caryophyllene"
Lemon,Citrus limon,"limonene, β-pinene, γ-terpinene, p-cymene"
Lemongrass,Cymbopogon citratus,"citral (geranial), neral, myrcene"
Oregano,Origanum vulgare,"carvacrol, thymol, cymene"
Palmarosa,Cymbopogon martinii,"geraniol, geranyl acetate, linalool"
Peppermint,Mentha piperita,"menthol, menthone, 1,8-cineole, menthofuran"
Pine,Pinus sps.,"α-humulene, caryophyllene, β-pinene, β-cadinene"
Rose,Rosa damascena,"citronellol, geraniol, β-pinene, rose oxide"
Rosemary,Rosmarinus officinalis,"camphor, 1,8-cineole, α-pinene, borneol, camphene, β-phellandrene"
Sandalwood,Santalum album,"α-santalol, β-santalol, β-curcumen-12-ol"
Spearmint,Mentha spicata,"carvone, 1,8-cineole, limonene"
Sweet basil,Ocimum basilicum,"linalool, α-cadinol, α-bergamotene, γ-cadinene"
Thyme,Thymus vulgaris,"thymol, carvacrol, terpinene, cymene"
Ylang-ylang,Cananga odorata,"geranyl acetate, benzyl benzoate, eugenol, germacrene-d, geraniol"
